bucket,score,rank,address,total_pnl,roi,win_rate,max_drawdown_pct,closed_positions,avg_pnl_per_closed,recent_trade_pnl_sample,avg_win,avg_loss,payoff_ratio,breakeven_payoff,profit_factor,open_positions,total_open_upnl,negative_open_upnl,account_value,leverage_ratio,labels,top_positions,reason
asymmetric_watch,91,20,0x6d7823cd5c3d9dcd63e6a8021b475e0c7c94b291,414758.66,7897.83,65.88,7.53,1266,327.6134755134281,11,3345.9654545454546,,,0.5179113539769279,99,0,0,0,5251.55,1,Shrimp; Bullish; Large Gain; Breakeven; Scalper; Cons. Hi-Freq,,Stats and labels suggest asymmetric trader; trade-level expectancy still needs confirmation.
asymmetric_watch,79,61,0x2cef0a7f84e722c77b271862da5fe2387028fa20,91945.42,161.75,74.11,10.26,1989,46.22695827048768,57,771.0554385964915,,,0.3493455673998111,99,0,0,0,370206.58,1,Shark; Bullish; Large Gain; Sustained Profit; Scalper; Asymmetric Pro,,Stats and labels suggest asymmetric trader; trade-level expectancy still needs confirmation.
asymmetric_watch,77,55,0x86149addc2ebeb610d2630b07cbfea5c19fa690e,110980.19,134.89,78.96,11.61,2595,42.766932562620426,21,1229.1623076923079,2057.26625,0.5974736170839859,0.2664640324214793,0.9708946277614773,0,0,0,32547.88,7.91,Shark; Bullish; Large Gain; Sustained Profit; Scalper; Asymmetric Pro,,Stats and labels suggest asymmetric trader; trade-level expectancy still needs confirmation.
asymmetric_watch,71,70,0x408d807d1dbb778f59a9c088e56d4c27bdd362ac,72237.34,7223734,55.3,10.29,1235,58.49177327935222,0,,,,0.8083182640144666,,1,141.26915599997804,0,38233.27,8.92,Shrimp; Neutral; Large Gain; Breakeven; Scalper; Cons. Hi-Freq,HYPE S $141,Stats and labels suggest asymmetric trader; trade-level expectancy still needs confirmation.
asymmetric_watch,70,29,0x83b1385d8126ecf64bfb3b4254d67eb9db753bcc,250517.33,127.5,65.88,6.38,2790,89.79115770609319,0,,,,0.5179113539769279,,1,-4127.0813280000075,-4127.0813280000075,146187.85,0.63,Whale; Bullish; Large Gain; Sustained Profit; Scalper; Asymmetric Pro,"DYDX L $-4,127",Stats and labels suggest asymmetric trader; trade-level expectancy still needs confirmation.
asymmetric_watch,70,33,0xd2147a366e335b89b68ace628923962393b56813,188689.47,56.77,66.6,1.61,509,370.7062278978389,0,,,,0.5015015015015016,,0,0,0,276917.29,1,Whale; Bullish; Large Gain; Breakeven; Scalper; Cons. Hi-Freq,,Stats and labels suggest asymmetric trader; trade-level expectancy still needs confirmation.
asymmetric_watch,65,56,0x613ead0ea5af374af0ccfc117ef116a8e8d133fe,99833.97,126.7,46.3,9.77,905,110.31377900552486,0,,,,1.1598272138228942,,1,32401.249999999938,0,266051.73,2.25,Shark; Bullish; Large Gain; Breakeven; Scalper; Asymmetric Pro,"HYPE L $32,401",Stats and labels suggest asymmetric trader; trade-level expectancy still needs confirmation.
asymmetric_watch,64,68,0x48b4c67ff2ba52157604efac6cb4024fd8a6f44a,74971.7,80.1,75.47,5.32,799,93.83191489361701,0,,,,0.3250298131707964,,0,0,0,0,1,Whale; Bearish; Large Gain; Sustained Profit; Scalper; Asymmetric Pro,,Stats and labels suggest asymmetric trader; trade-level expectancy still needs confirmation.
asymmetric_watch,60,40,0xac82b3772ca54a154092e27109f61a31a6d743a5,165064.42,77.06,75.55,10.32,1366,120.83778916544657,0,,,,0.3236267372600927,,0,0,0,214199.15,3,Whale; Bullish; Large Gain; Sustained Profit; Scalper; Asymmetric Pro,,Stats and labels suggest asymmetric trader; trade-level expectancy still needs confirmation.
asymmetric_watch,59,71,0x197d1d1127b1a1da550f089375369d5acfeb0c72,71880.39,108.72,68.44,13.09,732,98.19725409836066,0,,,,0.4611338398597312,,1,108.28978300000004,0,9933.32,1.23,Shark; Bullish; Large Gain; Breakeven; Short-term; Cons. Hi-Freq,ASTER S $108,Stats and labels suggest asymmetric trader; trade-level expectancy still needs confirmation.
asymmetric_watch,56,83,0xe3c1447b94c5b278d9ec8d24855f5a5a2788542b,56408.12,67.44,48.33,10.99,836,67.47382775119617,0,,,,1.0691082143596111,,0,0,0,0,1,Shark; Bullish; Large Gain; Breakeven; Scalper; Asymmetric Pro,,Stats and labels suggest asymmetric trader; trade-level expectancy still needs confirmation.
asymmetric_watch,49,18,0x837686cfda8a79adfb8465d39240c54166bf9a1e,530235.01,36.71,58.36,10.26,550,964.0636545454546,0,,,,0.7135023989033585,,5,552868.1363480001,-99482.98491199996,1441218.71,1.74,Mega Whale; Bullish; Large Gain; Sustained Profit; Scalper; Asymmetric Pro,"ETH S $645,789; BTC S $-90,079; PAXG S $6,562; BNB S $-4,868; SOL S $-4,536",Stats and labels suggest asymmetric trader; trade-level expectancy still needs confirmation.
review,66,65,0x99928208b49f9b5cca8e875834df9d9e5e008d8b,82686.82,8268682,55.35,16.08,851,97.1643008225617,0,,,,0.8066847335140017,,0,0,0,0,42.36,Shrimp; Bullish; Large Gain; Breakeven; Scalper; Asymmetric Pro,,Lower-win-rate profitable wallet worth manual review.
review,65,37,0x85b3c124a704ae638622a1e99310f22eee7279c6,170618.05,179.49,66.23,16.33,1291,132.15960495739736,0,,,,0.5098897780462025,,2,-10193.239999999985,-12137.739999999985,24225.35,8.59,Shark; Bullish; Large Gain; Breakeven; Swinger; Aggr. Low-Freq,"ETH S $-12,138; BTC L $1,945",Lower-win-rate profitable wallet worth manual review.
review,60,42,0xbf1e78fcd3b89a8a3375e68a11a2e7412f24f2af,146965.68,168.31,49.71,10.77,2213,66.41015815634884,0,,,,1.011667672500503,,0,0,0,7807.06,10.27,Shark; Bullish; Mid Gain; Breakeven; Scalper; Cons. Hi-Freq,,Lower-win-rate profitable wallet worth manual review.
review,60,49,0xa38747075ee46e51abdeb96e699fe60efe19b933,127101.26,0,74.8,2.4,881,144.2693076049943,0,,,,0.3368983957219252,,0,0,0,15525.95,1,Shrimp; Bullish; Small Gain; Sustained Profit; Scalper; Cons. Hi-Freq,,Lower-win-rate profitable wallet worth manual review.
review,55,101,0x1fec14331b8a1d1af202fe71e99c7f1c552a9140,40079.28,50.57,49.4,9.89,504,79.52238095238096,0,,,,1.0242914979757085,,0,0,0,3490.24,13.73,Shark; Bearish; Large Gain; Breakeven; Scalper; Cons. Hi-Freq,,Lower-win-rate profitable wallet worth manual review.
review,53,129,0x69523edb8337e624ea97a0c097ac5d3dede8e3d5,26111.2,34.15,79.97,8.88,1553,16.813393432066967,0,,,,0.2504689258471927,,0,0,0,7014.82,9.16,Shark; Bullish; Large Gain; Sustained Profit; Scalper; Asymmetric Pro,,Lower-win-rate profitable wallet worth manual review.
review,52,110,0xe70f1efff7f7ad16f7413f3dd5772b98361ff378,33352.72,38.74,58.09,12.06,513,65.01504873294347,0,,,,0.7214666896195557,,0,0,0,9007.04,1,Shark; Bullish; Large Gain; Sustained Profit; Scalper; Asymmetric Pro,,Lower-win-rate profitable wallet worth manual review.
review,49,96,0x3294a2a613e856631875e263644f27f75d2488fb,42443.81,53.97,66.58,16.45,1161,36.5579758828596,0,,,,0.5019525382997898,,1,-94.60098000000013,-94.60098000000013,34677.34,1,Shark; Bullish; Large Gain; Sustained Profit; Scalper; Asymmetric Pro,MORPHO L $-95,Lower-win-rate profitable wallet worth manual review.
review,46,98,0xda3768e9299e1fd81708ec030dac5ea37125f7b5,40984.8,43.26,53.5,18.69,957,42.826332288401254,0,,,,0.8691588785046729,,0,0,0,2192.26,1,Shark; Bullish; Large Gain; Breakeven; Scalper; Asymmetric Pro,,Lower-win-rate profitable wallet worth manual review.
review,46,102,0x929689eafa23fc78a04d1a1f700cc901525007cc,39696.04,49.57,53.44,18.7,799,49.68215269086358,0,,,,0.8712574850299402,,0,0,0,20849.85,12.36,Shark; Bullish; Large Gain; Breakeven; Scalper; Asymmetric Pro,,Lower-win-rate profitable wallet worth manual review.
review,45,91,0xeebd3f1efe690a690668be1c20d1471fe9c3966d,49790.25,24.36,52.24,9.18,1495,33.304515050167225,0,,,,0.9142419601837671,,0,0,0,224031.76,1,Whale; Bullish; Small Gain; Breakeven; Scalper; Cons. Hi-Freq,,Lower-win-rate profitable wallet worth manual review.
review,34,36,0xed48b856556a69c7c40229c9c4c829b909257c9b,178434.66,15.27,41.81,12.51,1557,114.60157996146435,2,,1872.11,,1.391772303276728,0,2,527727.6642870007,-82290.36513499993,1032404.06,8.11,Mega Whale; Bullish; Large Gain; Breakeven; Scalper; Cons. Hi-Freq,"ETH S $610,018; BTC L $-82,290",Lower-win-rate profitable wallet worth manual review.
review,32,115,0x049db0bdc4a8569bacb8f33210af514a82aec838,31559.2,42.67,72.82,24.02,1126,28.027708703374778,0,,,,0.3732491073880803,,1,-16212.750000000004,-16212.750000000004,38593.96,1.84,Shark; Bullish; Large Gain; Sustained Profit; Short-term; Asymmetric Pro,"HYPE S $-16,213",Lower-win-rate profitable wallet worth manual review.
risk_watch,24,5,0xb798aef79972ce8f73d47b9ebbcda6bbb7ec4fbf,1950057.95,20.92,77.6,23.54,1451,1343.9406960716747,2,,8196.21,,0.2886597938144331,0,1,-3683491.9999999977,-3683491.9999999977,9272528.37,3.15,Mega Whale; Bullish; Mid Gain; Breakeven; Short-term; Cons. Hi-Freq,"BTC S $-3,683,492","Stats are interesting, but current open losses are too large for clean signal use."
risk_watch,17,75,0x202ed102cca91d1237971252eee1add2f303eb8b,65408.34,53.08,79.94,24.12,623,104.98930979133226,0,,,,0.2509382036527396,,1,-87676.16800000009,-87676.16800000009,126128.39,9.48,Whale; Neutral; Large Gain; Breakeven; Swinger; Aggr. Low-Freq,"BTC S $-87,676","Stats are interesting, but current open losses are too large for clean signal use."
hold,70,213,0x1289894a932ae5b4679b236f96eae4236f4ee9c4,9287.96,51.62,42.72,14.82,323,28.755294117647058,10,2236.162,378.57,5.906865308925694,1.3408239700374533,5.906865308925694,1,320.64099999999263,0,10271.56,9.6,Shark; Bullish; Large Gain; Breakeven; Scalper; Cons. Hi-Freq,HYPE L $321,Interesting but below current asymmetric-watch quality bar.
hold,66,373,0xe98b6b0575b376ce1a45abb33b9fba1d7ea3b194,1388.69,1.69,42.41,9.32,1344,1.0332514880952381,26,3630.4349999999995,53.280909090909105,68.13763244552881,1.3579344494223062,12.388660444641603,0,0,0,35099.78,1,Shark; Bullish; Small Gain; Breakeven; Scalper; Cons. Hi-Freq,,Interesting but below current asymmetric-watch quality bar.
hold,59,264,0xb85c2b4d7f3fdc605e7c26d06b1a640371992602,6131.57,33.06,41.77,0.14,881,6.959784335981839,0,,,,1.3940627244433803,,0,0,0,0,1,Shark; Bullish; Large Gain; Breakeven; Scalper; Cons. Hi-Freq,,Interesting but below current asymmetric-watch quality bar.
hold,56,241,0xb5be7ae6f69c5d3ad941e17200ea316db91aa9fb,7069.55,48.23,60.77,5.73,543,13.019429097605894,0,,,,0.6455487905216388,,0,0,0,32278.23,1,Shark; Bearish; Large Gain; Breakeven; Scalper; Cons. Hi-Freq,,Interesting but below current asymmetric-watch quality bar.
hold,56,279,0xfc617b04c5b804e4ebf47627eb0d536cd12508a2,5455.99,19.66,47.1,2.47,724,7.535897790055248,0,,,,1.1231422505307855,,3,-1508.5194610000149,-1589.5458610000123,32772.83,4.24,Shark; Bullish; Large Gain; Breakeven; Scalper; Cons. Hi-Freq,PURR S $-826; HYPE L $-763; XRP L $81,Interesting but below current asymmetric-watch quality bar.
hold,52,143,0x4c56bfd325f350bd1af76bf691981fdd8740390a,21819.88,25.03,54.47,8.55,1713,12.737816695855225,3,0.6233333333333334,,,0.8358729575913347,99,27,31790.84592900004,-18.62763899999998,65245.15,6.35,Shark; Neutral; Large Gain; Breakeven; Scalper; Asymmetric Pro,"DOGE S $19,412; AVAX S $5,705; LINK S $3,961; ASTER S $2,559; CC S $82",Interesting but below current asymmetric-watch quality bar.
hold,51,191,0x3adb3a63ebf9c65d08d2cdba71a4da3fde798a81,11256.68,28.4,74.02,1.68,358,31.44324022346369,0,,,,0.3509862199405567,,0,0,0,295.23,5.31,Shark; Bullish; Large Gain; Sustained Profit; Scalper; Asymmetric Pro,,Interesting but below current asymmetric-watch quality bar.
hold,49,200,0xf2704e08a4d989f76171c9389665e77c870345a7,10538.72,56.97,44.83,14.24,928,11.356379310344828,0,,,,1.2306491188935982,,7,2476.3114330000067,-351.6283419999958,25079.23,7.17,Shrimp; Bullish; Large Gain; Breakeven; Scalper; Cons. Hi-Freq,"ZEC L $1,159; NEAR L $1,052; HYPE L $489; TON L $-328; VVV L $128",Interesting but below current asymmetric-watch quality bar.
hold,49,272,0x56f846f6fcc654ed675fff4887f7dd54b2389433,5781.61,37.74,61.11,10.94,792,7.3000126262626255,0,,,,0.6363933889707086,,0,0,0,4523.01,1,Shark; Bullish; Large Gain; Sustained Profit; Short-term; Cons. Hi-Freq,,Interesting but below current asymmetric-watch quality bar.
hold,47,160,0xa8123bfb8301ebcd78c41d90e1ce9d3107ff1823,16797.11,11.67,65.08,11.83,1071,15.68357609710551,0,,,,0.5365703749231715,,1,1485.2029919999973,0,108506.21,0.59,Whale; Bullish; Large Gain; Sustained Profit; Scalper; Cons. Hi-Freq,"HYPE L $1,485",Interesting but below current asymmetric-watch quality bar.
hold,47,184,0x197d0b8d520667f6a14ce98215c2f945e6cd3ccc,11712.31,14.31,48.5,3.73,1103,10.61859474161378,0,,,,1.0618556701030928,,0,0,0,0,1,Shark; Bearish; Small Gain; Breakeven; Scalper; Cons. Hi-Freq,,Interesting but below current asymmetric-watch quality bar.
hold,47,291,0x06b786a0d3dbc3e9f71e42a365800361f8006980,4563.46,26.56,79.57,11.8,783,5.828173690932312,0,,,,0.25675505843911034,,0,0,0,5062.41,1,Shark; Bullish; Large Gain; Breakeven; Scalper; Asymmetric Pro,,Interesting but below current asymmetric-watch quality bar.
hold,46,149,0x413814a7d66b730aa5325421839c7a6b512e0ea9,19674.15,41.46,59.18,16.09,833,23.618427370948382,0,,,,0.6897600540723218,,0,0,0,0,1,Shark; Bullish; Large Gain; Breakeven; Scalper; Asymmetric Pro,,Interesting but below current asymmetric-watch quality bar.
hold,42,338,0x8cf120f68a0c32c320c01819e30e600109eaa1e7,2250.17,1,68.57,12.75,1088,2.068170955882353,0,,,,0.45836371591074826,,1,27.676184999997506,0,282045.84,0.08,Whale; Bullish; Small Gain; Sustained Profit; Scalper; Cons. Hi-Freq,HYPE L $28,Interesting but below current asymmetric-watch quality bar.
hold,40,268,0xed2c11cf1e54a528af44d580fed126746a6b8b97,6006.32,38.71,70.54,12.35,482,12.461244813278007,0,,,,0.417635384179189,,1,-305.25,-305.25,8649.16,4.45,Shark; Bullish; Large Gain; Sustained Profit; Scalper; Asymmetric Pro,BTC S $-305,Interesting but below current asymmetric-watch quality bar.
hold,40,331,0x14fdad7329f3868d6daee16d8d2c6da3e4bb8133,2451.9,2.5,76.44,14.94,730,3.3587671232876715,0,,,,0.3082155939298797,,0,0,0,3569.99,27.74,Shark; Bullish; Mid Gain; Sustained Profit; Scalper; Cons. Hi-Freq,,Interesting but below current asymmetric-watch quality bar.
hold,40,335,0x61072c535710e89637c52ae633e0f9967e8cce51,2324.58,8.13,57.25,2.98,690,3.3689565217391304,0,,,,0.7467248908296943,,50,501.856777,-14.03236700000002,27041.26,0.47,Shark; Neutral; Mid Gain; Sustained Profit; Scalper; Cons. Hi-Freq,TRX L $160; BCH S $65; ZEC L $54; TRUMP S $40; SKY S $28,Interesting but below current asymmetric-watch quality bar.
hold,39,183,0xac1cf9e3de1895f74d110f1be546ae1447e7fe92,11734.39,10.63,54.1,11.2,1000,11.73439,0,,,,0.8484288354898336,,0,0,0,0.08,1,Whale; Bearish; Small Gain; Breakeven; Short-term; Cons. Hi-Freq,,Interesting but below current asymmetric-watch quality bar.
hold,39,345,0x529e68b3ca732d8a0ef4484eff601d8736094577,2056.19,11.26,57.37,4,685,3.0017372262773723,0,,,,0.7430712916158272,,50,448.13365999999974,-12.006132999999952,16919.37,0.67,Shark; Neutral; Large Gain; Sustained Profit; Scalper; Cons. Hi-Freq,TRX L $142; BCH S $58; ZEC L $48; TRUMP S $37; SKY S $26,Interesting but below current asymmetric-watch quality bar.
hold,38,307,0xe3142a08b1f55ccb4ac941e78b2a88933b1a30a7,3666.88,34.69,60.33,12.66,300,12.222933333333334,0,,,,0.657550140891762,,0,0,0,1,1,Shark; Bullish; Large Gain; Sustained Profit; Short-term; Cons. Hi-Freq,,Interesting but below current asymmetric-watch quality bar.
hold,37,202,0x47c328f9aa5790478f48f93ddb4bf709cea46324,10338.08,76.48,64.09,12.31,323,32.00643962848297,0,,,,0.5603058199407083,,0,0,0,9512.82,3.42,Shark; Bullish; Small Gain; Volatile Profit; Swinger; Aggr. Low-Freq,,Interesting but below current asymmetric-watch quality bar.
hold,37,351,0x6d79dc0730736e1d3c6e989f8e038618f9c77e0e,1835.24,13.2,56.22,6.22,715,2.5667692307692307,0,,,,0.7787264318747777,,50,200.09687999999989,-40.61898199999994,12681.06,0.8,Shark; Neutral; Mid Gain; Sustained Profit; Scalper; Cons. Hi-Freq,BCH S $50; TRUMP S $30; TRX L $29; SKY S $23; XLM S $18,Interesting but below current asymmetric-watch quality bar.
hold,37,407,0x412637a217ac400a5b838b4165bfe168241312dd,886.77,3.7,59.08,8.25,369,2.403170731707317,0,,,,0.6926201760324984,,1,6465.479999999994,0,22755.14,2.16,Shark; Bullish; Mid Gain; Sustained Profit; Scalper; Cons. Hi-Freq,"HYPE L $6,465",Interesting but below current asymmetric-watch quality bar.
hold,35,221,0x5aadb434293b4e1b8fb2e84007e567506fe65a96,8623.34,10.27,71.78,15.34,450,19.16297777777778,0,,,,0.39314572304263024,,1,33315.670079999945,0,194345.77,3.46,Shark; Bullish; Large Gain; Sustained Profit; Scalper; Cons. Hi-Freq,"HYPE L $33,316",Interesting but below current asymmetric-watch quality bar.
hold,34,457,0x3ee6903c8a6a112bd322a4ddc97d39953c414adb,86.58,0.86,58.46,14.69,869,0.09963176064441887,0,,,,0.7105713308244953,,1,-6.64668,-6.64668,104052.28,0.03,Shark; Bullish; Small Gain; Sustained Profit; Scalper; Cons. Hi-Freq,BTC S $-7,Interesting but below current asymmetric-watch quality bar.
hold,33,381,0x108080b8d99c8b120b75d1736290678951917ee2,1287.2,5.07,56.24,8.87,697,1.8467718794835009,0,,,,0.7780938833570412,,50,862.0410300000001,-27.24584999999992,24754.25,0.6,Shark; Bullish; Mid Gain; Sustained Profit; Scalper; Cons. Hi-Freq,TRX L $168; BCH S $103; ZEC L $100; TRUMP S $93; SKY S $82,Interesting but below current asymmetric-watch quality bar.
hold,31,350,0x59fd165b93300f7da94b38296acaada620b877d5,1840.37,0.35,61.28,10.87,860,2.1399651162790696,0,,,,0.6318537859007832,,129,19467.381822000003,-4694.9179170000025,353103.12,1.52,Mega Whale; Bullish; Small Gain; Sustained Profit; Scalper; Cons. Hi-Freq,"ZRO S $10,259; SYRUP S $2,178; TON S $-2,024; REZ S $1,787; NIL S $1,499",Interesting but below current asymmetric-watch quality bar.
hold,30,445,0xf5d81a135f756ca16544e53c20fc20643ec3ad53,250.81,0.05,66.91,8.73,943,0.26597030752916223,0,,,,0.4945449110745779,,22,182.2262909999987,-139.94925000000018,843903.95,0.5,Whale; Bullish; Small Gain; Sustained Profit; Scalper; Cons. Hi-Freq,BTC L $202; WLFI L $-117; TON L $37; TAO L $27; DOGE L $17,Interesting but below current asymmetric-watch quality bar.
hold,26,157,0x867b93ecb8ebfc900a0412661476d469361e0004,17487.48,43.44,43.82,20.58,340,51.43376470588235,0,,,,1.2820629849383842,,0,0,0,40254.9,1,Shark; Bullish; Large Gain; Breakeven; Scalper; Asymmetric Pro,,Interesting but below current asymmetric-watch quality bar.
hold,24,323,0xba22e02180cdcc5307ba3873c21bc8f0de222290,2802.53,11.72,59.53,19.8,687,4.079374090247453,0,,,,0.6798252981689904,,50,538.1001889999997,-28.28295900000003,21557.41,0.66,Shark; Neutral; Large Gain; Sustained Profit; Scalper; Cons. Hi-Freq,TRX L $180; BCH S $74; ZEC L $60; TRUMP S $45; SKY S $35,Interesting but below current asymmetric-watch quality bar.
hold,23,375,0xe36a01fb4e99646c3e2558a89cdcfab922075131,1384.77,10.48,53.59,19.55,683,2.027481698389458,0,,,,0.8660197798096658,,49,329.0273609999999,-8.44773499999998,12246.17,0.66,Shark; Neutral; Large Gain; Sustained Profit; Scalper; Cons. Hi-Freq,TRX L $101; BCH S $42; ZEC L $34; TRUMP S $26; SKY S $20,Interesting but below current asymmetric-watch quality bar.
hold,20,427,0x7e8ee3cbb8037d797f7ca0fae56ee5728e9a8a46,526.75,4.97,60.22,12.79,372,1.415994623655914,0,,,,0.6605778811026237,,50,322.8326279999998,-10.360788000000005,10358.53,0.54,Shark; Bullish; Mid Gain; Sustained Profit; Scalper; Cons. Hi-Freq,TRX L $63; ZEC L $40; BCH S $39; TRUMP S $34; SKY S $26,Interesting but below current asymmetric-watch quality bar.
hold,15,226,0xcb15941180ed7cff8b3547117eca6b78cbdeaf9c,8474.76,3.96,35.54,4.24,951,8.911419558359622,0,,,,1.813731007315701,,24,75601.21704600002,-27464.387252,203293.25,3.51,Whale; Bullish; Mid Gain; Breakeven; Scalper; Cons. Hi-Freq,"XMR S $47,941; ZRO S $15,189; WLD S $11,063; TON S $8,031; ETHFI S $6,310",Interesting but below current asymmetric-watch quality bar.
hold,14,452,0x688045760bffd87dedfadc64d8f99b605bb7969e,120.21,0.72,54.45,7.55,494,0.2433400809716599,0,,,,0.8365472910927455,,17,-28.38110800000103,-78.86207000000088,11027.06,3,Shark; Neutral; Small Gain; Breakeven; Scalper; Cons. Hi-Freq,ETH L $-69; DOGE S $24; BNB S $13; LINK S $-8; AVAX S $7,Interesting but below current asymmetric-watch quality bar.
hold,2,169,0x69c6bbe83c42d426c3fed19ce4659f8911043105,13846.13,15.83,41.06,19.98,341,40.60448680351906,0,,,,1.4354603019970773,,33,-76946.433255,-87654.894,36420.85,4.89,Shark; Bullish; Large Gain; Sustained Profit; Short-term; Asymmetric Pro,"ACE L $-16,801; BLAST L $-13,650; DYM L $-8,832; ANIME L $-8,694; REZ L $6,875",Interesting but below current asymmetric-watch quality bar.
