priority,verdict,lane,score,address,total_pnl,roi,win_rate,max_drawdown_pct,closed_positions,open_positions,total_open_upnl,negative_open_upnl,gross_open_notional,account_value,leverage_ratio,last_active_at,latest_trade_at,recent_symbols,positions,reason
A,asymmetric_active_monitor,profitable_position_monitor,65,0x613ead0ea5af374af0ccfc117ef116a8e8d133fe,99833.97,126.7,46.3,9.77,905,1,33363.75,0,598256.25,266051.73,2.25,2026-05-19T12:53:54.298254+00:00,2026-05-18T21:14:34.338000+00:00,HYPE (11); BTC (2),"HYPE L $33,364 notional $598,256 liq 28.0149270093",Readable active book with positive open PnL; monitor adds/trims/exits.
A,asymmetric_reactivation_watch,fresh_exposure_alert,77,0x86149addc2ebeb610d2630b07cbfea5c19fa690e,110980.19,134.89,78.96,11.61,2595,0,0,0,0,32547.88,7.91,2026-05-19T06:03:40.463515+00:00,2026-05-19T06:35:42.331000+00:00,HYPE (13); ETH (12); BTC (12); TAO (8); SOL (3); DOGE (2),,No open positions; useful if it reactivates with meaningful fresh exposure.
A,asymmetric_reactivation_watch,fresh_exposure_alert,60,0xac82b3772ca54a154092e27109f61a31a6d743a5,165064.42,77.06,75.55,10.32,1366,0,0,0,0,214199.15,3,2026-04-22T03:19:00.547976+00:00,,,,No open positions; useful if it reactivates with meaningful fresh exposure.
B,asymmetric_active_monitor,position_change_monitor,70,0x83b1385d8126ecf64bfb3b4254d67eb9db753bcc,250517.33,127.5,65.88,6.38,2790,1,-3905.7552000000032,-3905.7552000000032,92644.51334399999,146187.85,0.63,2026-05-19T12:54:51.288475+00:00,2026-05-16T20:58:45.692000+00:00,xyz:CBRS (18); @107 (5); STABLE (5); xyz:MU (5); TAO (4); GRASS (1); TON (1),"DYDX L $-3,906 notional $92,645 liq 0",Readable active book and strong asymmetric stats; monitor changes only.
B,asymmetric_reactivation_watch,fresh_exposure_alert,91,0x6d7823cd5c3d9dcd63e6a8021b475e0c7c94b291,414758.66,7897.83,65.88,7.53,1266,0,0,0,0,5251.55,1,2026-05-19T12:59:23.743503+00:00,2026-05-19T00:16:59.490000+00:00,xyz:MSTR (18); @272 (18); @107 (7); xyz:CRWV (6); xyz:COIN (1),,No open positions; useful if it reactivates with meaningful fresh exposure. RWA/xyz exposure makes this slightly more specialized/noisy.
B,asymmetric_reactivation_watch,fresh_exposure_alert,79,0x2cef0a7f84e722c77b271862da5fe2387028fa20,91945.42,161.75,74.11,10.26,1989,0,0,0,0,370206.58,1,2026-05-19T12:53:28.918149+00:00,2026-05-19T12:58:59.163000+00:00,xyz:XYZ100 (23); BTC (13); xyz:INTC (9); ZEC (5),,No open positions; useful if it reactivates with meaningful fresh exposure. RWA/xyz exposure makes this slightly more specialized/noisy.
B,asymmetric_reactivation_watch,fresh_exposure_alert,70,0xd2147a366e335b89b68ace628923962393b56813,188689.47,56.77,66.6,1.61,509,0,0,0,0,276917.29,1,2026-05-19T12:53:49.363635+00:00,2026-05-19T03:39:51.710000+00:00,xyz:CL (4); @107 (3),,No open positions; useful if it reactivates with meaningful fresh exposure. RWA/xyz exposure makes this slightly more specialized/noisy.
B,review,asymmetric_candidate,71,0x408d807d1dbb778f59a9c088e56d4c27bdd362ac,72237.34,7223734,55.3,10.29,1235,1,-601.1146739999817,-601.1146739999817,345017.47928499995,38233.27,8.92,2026-05-19T12:39:41.977503+00:00,2026-05-19T09:29:43.768000+00:00,HYPE (15); BTC (7); ETH (3); TAO (2); STBL (2); xyz:SP500 (2); BNB (2); MEGA (2); xyz:CL (2); xyz:DRAM (2),"HYPE S $-601 notional $345,017 liq 50.1008482122","Worth manual review, but not monitor-ready yet."
B,review,asymmetric_candidate,64,0x48b4c67ff2ba52157604efac6cb4024fd8a6f44a,74971.7,80.1,75.47,5.32,799,0,0,0,0,0,1,2026-05-19T12:12:42.200796+00:00,,,,"Worth manual review, but not monitor-ready yet."
B,review,asymmetric_candidate,59,0x197d1d1127b1a1da550f089375369d5acfeb0c72,71880.39,108.72,68.44,13.09,732,1,98.67936799999924,0,12207.839590000001,9933.32,1.23,2026-05-19T12:57:06.179559+00:00,,,"ASTER S $99 notional $12,208 liq 1.0783742582","Worth manual review, but not monitor-ready yet."
B,review,asymmetric_candidate,49,0x837686cfda8a79adfb8465d39240c54166bf9a1e,530235.01,36.71,58.36,10.26,550,5,552495.3745479997,-99693.54251199997,2513368.24522,1441586.08,1.74,2026-05-19T12:59:25.577323+00:00,,,"ETH S $645,375 notional $1,460,732 liq 4090.8760697328; BTC S $-90,170 notional $698,837 liq 227785.6215457014; PAXG S $6,814 notional $193,183 liq 35521.6399707757; BNB S $-4,905 notional $91,050 liq 9943.7061140443; SOL S $-4,619 notional $69,567 liq 1735.0495658584","Worth manual review, but not monitor-ready yet."
C,review,low_win_rate_review,56,0xe3c1447b94c5b278d9ec8d24855f5a5a2788542b,56408.12,67.44,48.33,10.99,836,0,0,0,0,0,1,2026-04-12T03:20:09.615464+00:00,,,,"Low win rate may be valid, but needs more payoff validation before monitoring."
