priority,behavior_tier,address,source_type,source_lane,source_verdict,source_total_pnl,source_roi,source_win_rate,source_max_drawdown_pct,source_closed_positions,pnl_chart_period,observations_total,days_available,observations_30d,observations_60d,pnl_curve_latest,pnl_curve_vs_source_delta,pnl_curve_source_ratio,source_conflict_flag,guarded_return_mean_30d_pct,sortino_30d,mdd_30d_pct,mdd_30d_usd,consistency_30d_pct,recovery_30d,peak_dd_60d_pct,peak_dd_60d_usd,idle_buckets,latest_bucket_gap_days,crash_24h_pct,data_quality,tier_reason,metric_note
A,elite_behavior,0x6979dde2781dc4ec843641b10b2a2f2e0f4bda62,strict_viable,profitable_open_book_unwind,active_monitor,128868.07,18.4,100,0,537,3M,26,72,21,22,477271.97,348403.9,3.704,review_pnl_source_mismatch,0.051,44.99,0.07,328.67,90.5,1452.13,0.07,328.67,0,0,0.07,usable,"Strong Sortino, controlled drawdown, and high profitable-bucket consistency.","Guarded PnL-curve returns use bucket_pnl / max(abs(previous cumulative PnL), 1000)."
B,elite_behavior,0xa3d843b6a057504284006bef6f34a2e9bc80fb6b,strict_viable,position_change_monitor,active_monitor,1108324.16,4875.06,92.33,12.38,2502,3M,9,14,9,9,1108324.16,0,1,,2.688,2.6,1.32,14872.23,55.6,74.52,1.32,14872.23,0,2,,usable_but_sparse,"Strong Sortino, controlled drawdown, and high profitable-bucket consistency.","Guarded PnL-curve returns use bucket_pnl / max(abs(previous cumulative PnL), 1000)."
A,asymmetric_behavior,0x86149addc2ebeb610d2630b07cbfea5c19fa690e,asymmetric_watch,fresh_exposure_alert,asymmetric_reactivation_watch,110980.19,134.89,78.96,11.61,2595,3M,29,42,24,29,114625.37,3645.18,1.033,,5.979,35.15,10.8,13093.52,87.5,8.75,10.8,13093.52,0,0,0,usable,Lower win-rate/payoff-style wallet with strong guarded PnL curve behavior.,"Guarded PnL-curve returns use bucket_pnl / max(abs(previous cumulative PnL), 1000)."
B,asymmetric_behavior,0x6d7823cd5c3d9dcd63e6a8021b475e0c7c94b291,asymmetric_watch,fresh_exposure_alert,asymmetric_reactivation_watch,414758.66,7897.83,65.88,7.53,1266,3M,19,71,9,12,414758.66,0,1,,0.633,9.99,0.04,115.07,77.8,3604.4,7.53,26713.75,0,0,0,usable,Lower win-rate/payoff-style wallet with strong guarded PnL curve behavior.,"Guarded PnL-curve returns use bucket_pnl / max(abs(previous cumulative PnL), 1000)."
B,asymmetric_behavior,0xd2147a366e335b89b68ace628923962393b56813,asymmetric_watch,fresh_exposure_alert,asymmetric_reactivation_watch,188689.47,56.77,66.6,1.61,509,3M,35,69,11,28,70532.55,-118156.92,0.374,review_pnl_source_mismatch,1.911,12.72,2.84,1251.25,81.8,56.37,2.84,1251.25,0,0,0,usable,Lower win-rate/payoff-style wallet with strong guarded PnL curve behavior.,"Guarded PnL-curve returns use bucket_pnl / max(abs(previous cumulative PnL), 1000)."
C,asymmetric_behavior,0xe3c1447b94c5b278d9ec8d24855f5a5a2788542b,asymmetric_watch,low_win_rate_review,review,56408.12,67.44,48.33,10.99,836,3M,12,37,10,12,74039.14,17631.02,1.313,,5.814,4.41,18.08,7517.35,50,9.85,18.08,7517.35,0,3,,usable_but_sparse,Lower win-rate wallet still shows positive curve behavior and controlled drawdown.,"Guarded PnL-curve returns use bucket_pnl / max(abs(previous cumulative PnL), 1000)."
B,risk_watch,0x2cef0a7f84e722c77b271862da5fe2387028fa20,asymmetric_watch,fresh_exposure_alert,asymmetric_reactivation_watch,91945.42,161.75,74.11,10.26,1989,3M,12,14,12,12,56675.28,-35270.14,0.616,,0.252,0.36,41.81,40726.92,50,1.39,41.81,40726.92,0,2,,usable_but_sparse,Recent crash or drawdown is too large for clean signal use.,"Guarded PnL-curve returns use bucket_pnl / max(abs(previous cumulative PnL), 1000)."
A,high_risk_behavior,0xf3362789cecf25c6a31288d172880d7ad9b81801,strict_viable,clean_wallet_reactivation,core_watch,334867.69,26.33,97.79,3.15,1040,3M,8,53,5,8,193892.71,-140974.98,0.579,,-0.548,-0.71,42.1,140974.98,40,1.38,42.1,140974.98,0,13,,sparse_recent_curve,Sortino <= 0,"Guarded PnL-curve returns use bucket_pnl / max(abs(previous cumulative PnL), 1000)."
B,high_risk_behavior,0x143c28ae5b8642f58c98b8a6f82a0f314d23f6ab,strict_viable,position_change_monitor,active_monitor,876569.34,68.73,91.06,0.2,1824,3M,15,70,5,9,712953.52,-163615.82,0.813,,-0.342,0,0,0,80,,0,0,0,0,0,sparse_recent_curve,Sortino <= 0,"Guarded PnL-curve returns use bucket_pnl / max(abs(previous cumulative PnL), 1000)."
B,high_risk_behavior,0x83b1385d8126ecf64bfb3b4254d67eb9db753bcc,asymmetric_watch,position_change_monitor,asymmetric_active_monitor,250517.33,127.5,65.88,6.38,2790,3M,29,38,26,29,112190.66,-138326.67,0.448,review_pnl_source_mismatch,-15.903,-0.67,30.7,49712.01,50,2.26,30.7,49712.01,0,1,8.22,usable,Sortino <= 0,"Guarded PnL-curve returns use bucket_pnl / max(abs(previous cumulative PnL), 1000)."
