product_bucket,alert_lane,score,address,source_bucket,total_pnl,roi,win_rate,max_drawdown_pct,closed_positions,live_open_positions,live_total_open_upnl,live_negative_open_upnl,account_value,leverage_ratio,last_active_at,live_positions,operator_note
core_watch,clean_wallet_reactivation,94,0xbb9f0315243db63fc34c51f96ad5bb7ce6e275e2,watch,170474.07,341.15,99.59,0.01,1974,0,0,0,49969.77,1,2026-05-19T11:41:06.752796+00:00,,Clean historical profile. Best use is alerting when the wallet opens fresh meaningful exposure.
core_watch,clean_wallet_reactivation,72,0xf3362789cecf25c6a31288d172880d7ad9b81801,watch,334867.69,26.33,97.79,3.15,1040,0,0,0,71656.07,1,2026-05-19T11:38:04.007415+00:00,,Clean historical profile. Best use is alerting when the wallet opens fresh meaningful exposure.
active_monitor,position_change_monitor,71,0x031f72deb03c509af42624ddcd1f63fce5ecb220,monitor,66227.94,73.89,98.95,0.07,665,1,8377.292530000006,0,422224.17,0.48,2026-05-19T12:19:23.092313+00:00,"ZEC L $8,377","Readable active book. Monitor adds, trims, flips, and full exits before promoting to core watch."
active_monitor,position_change_monitor,67,0x143c28ae5b8642f58c98b8a6f82a0f314d23f6ab,monitor,876569.34,68.73,91.06,0.2,1824,1,-3102.499999999999,-3102.499999999999,1272646.98,0.19,2026-05-19T12:20:23.704370+00:00,"HYPE L $-3,102","Readable active book. Monitor adds, trims, flips, and full exits before promoting to core watch."
active_monitor,profitable_open_book_unwind,67,0x6979dde2781dc4ec843641b10b2a2f2e0f4bda62,monitor,128868.07,18.4,100,0,537,1,200230.09429199988,0,392532.44,8.46,2026-05-19T12:19:25.613716+00:00,"BTC S $200,230","Readable active book. Monitor adds, trims, flips, and full exits before promoting to core watch."
active_monitor,position_change_monitor,61,0xa3d843b6a057504284006bef6f34a2e9bc80fb6b,monitor,1108324.16,4875.06,92.33,12.38,2502,1,-10288.5,-10288.5,22401.67,10.27,2026-05-19T11:50:51.044364+00:00,"BTC L $-10,288","Readable active book. Monitor adds, trims, flips, and full exits before promoting to core watch."
active_monitor,position_change_monitor,52,0xa4add8273d7f47318675bdfbcce3e9648cdb4509,monitor,119269.88,122.32,89.48,14.96,732,1,-2191.0746960000342,-2191.0746960000342,93915.53,5.17,2026-05-19T12:22:00.523195+00:00,"SOL L $-2,191","Readable active book. Monitor adds, trims, flips, and full exits before promoting to core watch."
reactivation_watch,clean_wallet_reactivation,59,0xd04aeccdf15e49f2654ae4e25db1666d48c85c4e,watch,34022.64,34.27,92.83,8.41,502,0,0,0,0.01,1,2026-04-30T11:31:28.720575+00:00,,"Clean enough to track, but only valuable if it reactivates with meaningful size."
reactivation_watch,clean_wallet_reactivation,54,0xee2549522a965522877497578d6f135084f2994a,watch,23533.26,3.33,94.16,11.13,1268,0,0,0,707429.94,3.01,2026-05-08T08:55:12.605809+00:00,,Stats are clean but edge is low and recent visible activity is light. Alert only on meaningful reactivation.
risk_watch,large_underwater_open_book,69,0x69cc3ae720efdff1cd2a8edec79a7a3fac6e14fd,monitor,805715.11,2.52,99.86,0,2105,4,-724398.4016969998,-1041782.01626,31992627.66,0.17,2026-05-19T12:20:13.965434+00:00,"HYPE S $-1,037,497; SOL S $313,403; BTC L $-4,285; ZEC L $3,980","Previous pass called this monitor, but the HYPE short is more than $1M underwater. Do not present as smart-money signal until behavior improves."
hold,low_priority_observation,34,0x5af5bc81a11a1b28b0960752ea4d86c5ac34f245,monitor,6770.48,13.82,84.7,12.52,843,3,-127.38000000000035,-143.08000000000015,1952.16,3.14,2026-05-19T12:07:42.067037+00:00,VVV S $-143; LINK S $11; kLUNC S $5,"Keep in the dataset, but do not spend scarce manual attention until behavior improves."
hold,low_priority_observation,32,0x440888714a6afed60ff44e9975a96e6a36f7fac4,monitor,11432.94,2.75,83.54,13.03,1039,6,-7792.517252000018,-8482.00977500001,253755.92,2.01,2026-05-19T12:19:48.608221+00:00,"BTC L $-6,169; ENA S $-1,831; PAXG S $555; LDO L $-364; CRV S $134; ETH L $-118","Keep in the dataset, but do not spend scarce manual attention until behavior improves."
hold,low_priority_observation,30,0x7fa8a6161b17b4ee11ee591878de6930286300d0,monitor,6069.38,6.15,83.4,14.01,723,1,-12099.396000000004,-12099.396000000004,109228.89,5.26,2026-05-19T12:21:31.477791+00:00,"HYPE S $-12,099","Keep in the dataset, but do not spend scarce manual attention until behavior improves."
hold,low_priority_observation,22,0x9bbf40a5cd58a832696c1ae903459c6c2e930150,monitor,5683.95,6.89,82.51,12.85,772,1,760.6744659999507,0,16093.25,40.34,2026-05-19T11:53:29.390941+00:00,BTC L $761,"Keep in the dataset, but do not spend scarce manual attention until behavior improves."
