bucket,score,rank,address,total_pnl,roi,win_rate,max_drawdown_pct,closed_positions,open_positions_count,total_open_upnl,negative_open_upnl,account_total_value,leverage_ratio,latest_trade_at,recent_symbols,top_open_positions,review_reason
watch,94,38,0xbb9f0315243db63fc34c51f96ad5bb7ce6e275e2,170474.07,341.15,99.59,0.01,1974,0,0,0,49969.77,1,2026-05-19T09:45:08.918275+00:00,,,Clean historical profile with no current open-book noise; watch for reactivation.
watch,72,24,0xf3362789cecf25c6a31288d172880d7ad9b81801,334867.69,26.33,97.79,3.15,1040,0,0,0,71656.07,1,2026-05-19T10:39:45.258243+00:00,,,Clean historical profile with no current open-book noise; watch for reactivation.
watch,59,109,0xd04aeccdf15e49f2654ae4e25db1666d48c85c4e,34022.64,34.27,92.83,8.41,502,0,0,0,0.01,1,2026-04-30T11:31:28.720575+00:00,,,Clean historical profile with no current open-book noise; watch for reactivation.
watch,54,135,0xee2549522a965522877497578d6f135084f2994a,23533.26,3.33,94.16,11.13,1268,1,0,0,707429.94,3.01,2026-05-08T08:55:12.605809+00:00,,,Clean historical profile with no current open-book noise; watch for reactivation.
monitor,71,74,0x031f72deb03c509af42624ddcd1f63fce5ecb220,66227.94,73.89,98.95,0.07,665,1,10067.549030000011,0,424498.83,0.48,2026-05-19T10:41:12.479281+00:00,,"ZEC L $10,068",Current open book is active and readable; monitor changes/unwinds before promoting.
monitor,69,14,0x69cc3ae720efdff1cd2a8edec79a7a3fac6e14fd,805715.11,2.52,99.86,0,2105,4,-767927.2484469998,-1085421.3771,31928505.32,0.17,2026-05-18T18:11:18.776000+00:00,xyz:SPCX; BTC,"HYPE S $-1,081,376; SOL S $313,338; ZEC L $4,156; BTC L $-4,045",Current open book is active and readable; monitor changes/unwinds before promoting.
monitor,67,13,0x143c28ae5b8642f58c98b8a6f82a0f314d23f6ab,876569.34,68.73,91.06,0.2,1824,1,392.4999999999912,0,1277315.32,0.19,2026-05-19T07:28:46.700000+00:00,xyz:GOOGL; xyz:CBRS; HYPE; xyz:MU,HYPE L $392,Current open book is active and readable; monitor changes/unwinds before promoting.
monitor,67,47,0x6979dde2781dc4ec843641b10b2a2f2e0f4bda62,128868.07,18.4,100,0,537,1,198759.15025199988,0,389637.2,8.55,2026-05-18T15:19:19.549000+00:00,BTC,"BTC S $198,759",Current open book is active and readable; monitor changes/unwinds before promoting.
monitor,61,11,0xa3d843b6a057504284006bef6f34a2e9bc80fb6b,1108324.16,4875.06,92.33,12.38,2502,1,-10186.5,-10186.5,22734.56,10.13,2026-05-19T05:54:36.680000+00:00,xyz:SPCX; xyz:TSLA; xyz:CBRS; xyz:MSTR; BTC,"BTC L $-10,186",Current open book is active and readable; monitor changes/unwinds before promoting.
monitor,52,51,0xa4add8273d7f47318675bdfbcce3e9648cdb4509,119269.88,122.32,89.48,14.96,732,1,-2288.685466000011,-2288.685466000011,94775.98,5.13,2026-05-18T20:24:26.450000+00:00,FARTCOIN; SOL,"SOL L $-2,289",Current open book is active and readable; monitor changes/unwinds before promoting.
monitor,34,251,0x5af5bc81a11a1b28b0960752ea4d86c5ac34f245,6770.48,13.82,84.7,12.52,843,3,-147.57000000000016,-155.88000000000017,1927.07,3.19,2026-05-19T10:13:18.642146+00:00,,VVV S $-156; LINK S $5; kLUNC S $4,Current open book is active and readable; monitor changes/unwinds before promoting.
monitor,32,187,0x440888714a6afed60ff44e9975a96e6a36f7fac4,11432.94,2.75,83.54,13.03,1039,6,-8149.770521999976,-8944.283054999976,252168.25,2.03,2026-05-19T10:41:29.870000+00:00,ETH; xyz:BRENTOIL; ENA; CRV; BTC,"BTC L $-6,146; ENA S $-2,229; PAXG S $679; LDO L $-357; ETH L $-212; CRV S $116",Current open book is active and readable; monitor changes/unwinds before promoting.
monitor,30,267,0x7fa8a6161b17b4ee11ee591878de6930286300d0,6069.38,6.15,83.4,14.01,723,1,-21080.316000000003,-21080.316000000003,99706.61,5.86,2026-05-15T02:59:42.868000+00:00,HYPE,"HYPE S $-21,080",Current open book is active and readable; monitor changes/unwinds before promoting.
monitor,22,275,0x9bbf40a5cd58a832696c1ae903459c6c2e930150,5683.95,6.89,82.51,12.85,772,1,836.8265259999507,0,16667.97,38.98,2026-05-19T09:57:15.340158+00:00,,BTC L $837,Current open book is active and readable; monitor changes/unwinds before promoting.
risk_monitor,63,4,0xfd423284f6a9c73a2a3d53cab8921d6533533d97,2525959.31,215.6,100,0,890,1,-1689521.8283399981,-1689521.8283399981,1207577.69,18.25,2026-05-19T10:41:02.970200+00:00,,"ETH L $-1,689,522","Current book has large unrealized loss ($-1,689,522); useful as risk/liquidation monitor, not clean smart-money feed."
risk_monitor,61,2,0x06cecfbac34101ae41c88ebc2450f8602b3d164b,5627055.24,399.97,97.15,0,701,6,2390499.3648230005,-1213976.9941399994,1344962.16,10.47,2026-05-16T12:05:02.787000+00:00,@150; AAVE,"SOL S $3,028,541; HYPE S $-730,055; MON S $-483,922; BTC S $411,320; ETH S $120,020; AAVE S $44,596","Current book has large unrealized loss ($-1,213,977); useful as risk/liquidation monitor, not clean smart-money feed."
