date,source,wallet,period,total_pnl,roi,accuracy,max_drawdown,trade_count,risk_label,style_label,include_status,include_reason,exclude_reason,next_review
2026-05-18,HyperCopy,0x143c28ae5b8642f58c98b8a6f82a0f314d23f6ab,1W,+$961.8K,+68.67%,96.4%,-0.2%,1439,Low risk,Asymmetric Pro,review,Top weekly PnL with low drawdown and strong accuracy,,2026-05-19
2026-05-18,HyperCopy 3M total_pnl,0x45d26f28196d226497130c4bac709d808fed4029,3M,+$6.61M,++35.07% ROI,47.5%,-5.6%,11221,Low risk,,review,3M rank #1 positive PnL but low accuracy needs behavior review before inclusion,,2026-05-19
2026-05-18,HyperCopy 3M total_pnl,0x06cecfbac34101ae41c88ebc2450f8602b3d164b,3M,+$5.63M,++403.13% ROI,97.2%,-0.0%,701,Low risk,,include,3M rank #2 positive PnL low-risk profile strong accuracy and enough trade count,,2026-05-19
2026-05-18,HyperCopy 3M total_pnl,0xfd423284f6a9c73a2a3d53cab8921d6533533d97,3M,+$2.53M,++186.01% ROI,100.0%,-0.0%,890,Low risk,,include,3M rank #3 positive PnL low-risk profile strong accuracy and enough trade count,,2026-05-19
2026-05-18,HyperCopy 3M total_pnl,0xb798aef79972ce8f73d47b9ebbcda6bbb7ec4fbf,3M,+$1.95M,++21.00% ROI,77.6%,-23.5%,1451,Medium risk,,review,3M rank #4 positive total PnL but needs behavior review before inclusion,,2026-05-19
2026-05-18,HyperCopy 3M total_pnl,0xa875890465da20062bcf3b024bf7d54e69c725a8,3M,+$1.93M,++27.79% ROI,100.0%,-0.0%,729,Low risk,,include,3M rank #5 positive PnL low-risk profile strong accuracy and enough trade count,,2026-05-19
2026-05-18,HyperCopy 3M total_pnl,0x9c89f595f5515609ad61f6fda94beff85ae6600e,3M,+$1.71M,++16.50% ROI,100.0%,-0.0%,2375,Low risk,,include,3M rank #6 positive PnL low-risk profile strong accuracy and enough trade count,,2026-05-19
2026-05-18,HyperCopy 3M total_pnl,0x519c721de735f7c9e6146d167852e60d60496a47,3M,+$1.35M,++16.46% ROI,58.3%,-22.1%,7314,Medium risk,,review,3M rank #7 positive total PnL but needs behavior review before inclusion,,2026-05-19
2026-05-18,HyperCopy 3M total_pnl,0x61ceef212ff4a86933c69fb6aca2fe35d8f2a62b,3M,+$1.12M,++58.82% ROI,47.9%,-99.9%,59215,High risk,,exclude,,3M rank #8 positive PnL but high drawdown on 3M window,2026-05-19
2026-05-18,HyperCopy 3M total_pnl,0x4a20b9496610941053858bd0b7e92493f44c3c26,3M,+$1.12M,++13.73% ROI,89.2%,-99.9%,6087,High risk,Cons. Hi-Freq,exclude,,3M rank #9 positive PnL but high drawdown on 3M window,2026-05-19
2026-05-18,HyperCopy 3M total_pnl,0xa3d843b6a057504284006bef6f34a2e9bc80fb6b,3M,+$1.11M,++4559.37% ROI,92.3%,-12.4%,2502,Low risk,Asymmetric Pro,include,3M rank #10 positive PnL low-risk profile strong accuracy and enough trade count,,2026-05-19
